T_exp_K,P_kPa,x_butanol,x_water,x_toluene,y_butanol_exp,y_water_exp,y_toluene_exp,y_butanol_tf,y_water_tf,y_toluene_tf,tf_residual_kpa,T_dwsim_C,T_dwsim_K,y_butanol_dwsim,y_water_dwsim,y_toluene_dwsim,dwsim_file,max_err_tf,max_err_dwsim
364.27,101.3,0.658,0.213,0.129,0.22,0.564,0.216,0.3389,0.5002,0.161,1.526e-05,99.51,372.66,0.367,0.4815,0.1516,,0.1189,0.147
363.42,101.3,0.633,0.226,0.141,0.21,0.567,0.223,0.3216,0.5068,0.1716,1.526e-05,99.16,372.31,0.3551,0.4866,0.1583,,0.1116,0.1451
361.76,101.3,0.582,0.259,0.159,0.181,0.576,0.243,0.2913,0.5207,0.188,1.526e-05,98.43,371.58,0.332,0.5051,0.1629,,0.1103,0.151
365.94,101.3,0.679,0.266,0.055,0.262,0.621,0.117,0.3713,0.5459,0.0827,1.526e-05,97.97,371.12,0.3509,0.5855,0.0636,,0.1093,0.0889
360.88,101.3,0.559,0.268,0.173,0.17,0.573,0.257,0.278,0.5226,0.1993,1.526e-05,98.3,371.45,0.3249,0.5039,0.1712,,0.108,0.1549
359.19,101.3,0.505,0.278,0.217,0.145,0.568,0.287,0.2478,0.5226,0.2296,0.000e+00,98.35,371.5,0.3134,0.486,0.2006,,0.1028,0.1684
364.07,101.3,0.644,0.29,0.066,0.233,0.63,0.137,0.3495,0.5523,0.0982,1.526e-05,97.41,370.56,0.3337,0.5949,0.0714,,0.1165,0.1007
363.0,101.3,0.598,0.333,0.069,0.202,0.642,0.156,0.3306,0.5634,0.106,0.000e+00,96.53,369.68,0.3109,0.6209,0.0682,,0.1286,0.1089
361.64,101.3,0.559,0.363,0.078,0.188,0.636,0.176,0.3138,0.5651,0.1211,1.526e-05,96.08,369.23,0.2966,0.6315,0.0719,,0.1258,0.1086
360.71,101.3,0.513,0.4,0.087,0.177,0.629,0.194,0.2972,0.5643,0.1385,1.526e-05,95.63,368.78,0.2818,0.6441,0.0741,bwt_x1_0p513_x2_0p400_3comp_bubble_95.6C.dwxmz,0.1202,0.1199
