alpha_source,light,heavy,entrainer,entrainer_ratio,alpha_base,alpha_ext,selectivity,alpha_avg,theoretical_stages,minimum_stages,reflux_ratio,minimum_reflux_ratio,feed_stage,entrainer_stage,condenser_temperature_K,reboiler_temperature_K,feed_temperature_K,file
unifac,tetrahydrofuran,toluene,acetonitrile,2.0,4.161,2.8011,0.6732,3.414,13,5.576,0.904,0.646,6,2,340.18,352.8,352.06,acn_toluene_thf_extractive_unifac.dwxmz
thermoformer,tetrahydrofuran,toluene,acetonitrile,2.0,2.691,1.1483,0.4267,1.7578,23,12.138,3.185,2.275,10,2,368.25,365.24,381.35,acn_toluene_thf_extractive_thermoformer.dwxmz
