alpha_source,property_package,light,heavy,entrainer,entrainer_ratio,purity,recovery,alpha_base,alpha_ext,selectivity,alpha_avg,theoretical_stages,minimum_stages,reflux_ratio_shortcut,reflux_ratio_operating,minimum_reflux_ratio,feed_stage,entrainer_stage,T_top_K,T_feed_K,T_entrainer_K,T_bottoms_K,distillate_flow_mol_s,bottoms_flow_mol_s,max_iterations,initial_estimates,file
unifac,UNIQUAC,water,toluene,1-butanol,2.0,0.95,0.9,1.9237,1.4364,0.7467,1.6623,25,13.473,3.665,7.33,2.618,11,2,282.47,338.97,390.68,378.73,0.4736842105263158,2.526315789473684,1000,"T,L,V,D/B/R/T/L/V/z",water_toluene_butanol_extractive_unifac.dwxmz
thermoformer,UNIQUAC,water,toluene,1-butanol,2.0,0.95,0.9,2.3501,1.9256,0.8193,2.1273,18,9.071,2.095,4.19,1.497,8,2,282.47,338.97,390.68,378.73,0.4736842105263158,2.526315789473684,1000,"T,L,V,D/B/R/T/L/V/z",water_toluene_butanol_extractive_thermoformer.dwxmz
