alpha_source,property_package,light,heavy,entrainer,entrainer_ratio,purity,recovery,alpha_base,alpha_ext,selectivity,alpha_avg,theoretical_stages,minimum_stages,reflux_ratio,minimum_reflux_ratio,feed_stage,entrainer_stage,condenser_temperature_K,reboiler_temperature_K,feed_temperature_K,distillate_flow_mol_s,bottoms_flow_mol_s,file
unifac,UNIQUAC,water,1-butanol,toluene,2.0,0.95,0.9,2.9567,39.5793,13.3864,10.8177,10,2.875,0.117,0.083,4,2,365.43,356.9,366.56,0.473684,2.526316,water_butanol_toluene_uniquac_unifac.dwxmz
thermoformer,UNIQUAC,water,1-butanol,toluene,2.0,0.95,0.9,4.118,18.1443,4.4061,8.644,10,3.174,0.19,0.135,4,2,351.76,362.75,354.48,0.473684,2.526316,water_butanol_toluene_uniquac_thermoformer.dwxmz
